ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
203945201,Audio,African Emerald Cuckoo,Chrysococcyx cupreus,,Eric francois Roualet,2/21/2018,2018,2,21,0,Ghana,GH-WP,Western,,Ankasa NP,5.2947246,-2.5941467,Adult Male – 1,Song,Unspecified,,,,IBC1540304,,,,,S65088444,,,,"A male singing. Elevation: 95 m. Date added to IBC: December 10, 2018.",,Chrysococcyx cupreus,afecuc1,Species,3271,,0,0,,,
203940911,Audio,African Emerald Cuckoo,Chrysococcyx cupreus,,Eric francois Roualet,3/1/2018,2018,3,1,0,Ghana,GH-AH,Ashanti,,"Bobiri Forest Reserve (6.6929, -1.3026)",6.6929,-1.3026,,Song,Unspecified,,,,IBC1478486,,,,,S65088551,,,,"Closer song. Elevation: 233 m. Date added to IBC: March 14, 2018.",,Chrysococcyx cupreus,afecuc1,Species,3271,,0,0,,,
203940901,Audio,African Emerald Cuckoo,Chrysococcyx cupreus,,Eric francois Roualet,3/1/2018,2018,3,1,0,Ghana,GH-AH,Ashanti,,"Bobiri Forest Reserve (6.6929, -1.3026)",6.6929,-1.3026,Adult Male – 1,Song,Unspecified,,,,IBC1478485,,,,,S65088551,,,,"A male singing. Elevation: 233 m. Date added to IBC: March 14, 2018.",,Chrysococcyx cupreus,afecuc1,Species,3271,,0,0,,,
203920961,Audio,African Emerald Cuckoo,Chrysococcyx cupreus,,Josep del Hoyo,1/2/2018,2018,1,2,0,Ghana,GH-WP,Western,,Ankasa NP,5.2947246,-2.5941467,,Song,Unspecified,,,,IBC1539459,,,,,S64823289,,,,"A bird singing in the forest. Elevation: 95 m. Date added to IBC: December 7, 2018.",,Chrysococcyx cupreus,afecuc1,Species,3271,,3,4,,,
203917681,Audio,African Emerald Cuckoo,Chrysococcyx cupreus,,Josep del Hoyo,9/2/2006,2006,9,2,0,Uganda,UG-W,Western,,Kanyanchu,0.4654,30.3732,Unknown – 1,Song,Unspecified,,,,IBC1130657,,,,,S64821054,,,,"A bird singing. Elevation: 1293 m. Date added to IBC: June 22, 2016.",,Chrysococcyx cupreus,afecuc1,Species,3271,,4,4,,,
184285571,Audio,African Emerald Cuckoo,Chrysococcyx cupreus,,Gabriel Jamie,10/10/2019,2019,10,10,610,Zambia,ZM-06,North-Western,,"(-10.9239,23.9988)",-10.923895,23.998786,,,Unspecified,,,,,,,,,S60525123,,,,,,Chrysococcyx cupreus,afecuc1,Species,3271,,4.5,2,,,
181392571,Audio,African Emerald Cuckoo (African),Chrysococcyx cupreus cupreus,,Jan Hansen,10/10/2019,2019,10,10,1055,South Africa,ZA-NL,Kwazulu-Natal,,Eshowe--Dlinza Forest,-28.8947327,31.4483643,,,Unspecified,,,,,,,,,S60496006,,,,,,Chrysococcyx cupreus,afecuc2,Group,3272,,0,0,,,
172074821,Audio,African Emerald Cuckoo,Chrysococcyx cupreus,,Barbara Carlson,7/9/2019,2019,7,9,722,Uganda,UG-W,Western,,Bigodi Swamp,0.4047742,30.4055214,,,Not Used,,,,,,,,,S58066217,,,,,,Chrysococcyx cupreus,afecuc1,Species,3271,,3,1,,,
144126771,Audio,African Emerald Cuckoo,Chrysococcyx cupreus,,Raphaël Nussbaumer,12/31/2018,2018,12,31,515,South Africa,ZA-NL,Kwazulu-Natal,,St Lucia--Sugarloaf Campground,-28.3826395,32.4189752,,,Unspecified,,,,,,,,,S51107931,,,,,,Chrysococcyx cupreus,afecuc1,Species,3271,,0,0,,,
144126231,Audio,African Emerald Cuckoo,Chrysococcyx cupreus,,Raphaël Nussbaumer,12/29/2018,2018,12,29,557,South Africa,ZA-NL,Kwazulu-Natal,,Eshowe--Dlinza Forest,-28.8947327,31.4483643,,,Unspecified,,,,,,,,,S51040312,,,,,,Chrysococcyx cupreus,afecuc1,Species,3271,,0,0,,,
